horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,702.7212656739108,26.508890313891126,20.291098560758954,0.6805054528092926,0.5462934510594164,0.5492148526362798,0.7777777777777778
10 days,664.4635185763586,25.77718988905421,19.218050141403666,0.6389807192262119,0.5057353960761144,0.5312233900076455,0.8148148148148148
11 days,649.4130803458987,25.483584527022465,18.7583390557385,0.6342831397799328,0.5057353960761144,0.5239836250980893,0.8148148148148148
12 days,665.0101341608744,25.787790408658015,19.001179107846674,0.6103780430138075,0.4580579957978493,0.5157232222478306,0.8148148148148148
13 days,612.660319382076,24.751976070246915,18.063378713301088,0.5782895818811872,0.4580579957978493,0.5152828663561086,0.8518518518518519
14 days,576.0215436961968,24.000448822807392,17.567966915803684,0.5671300447267565,0.4580579957978493,0.5206016534658532,0.8703703703703703
15 days,406.0794662822483,20.151413505812645,15.664960397824016,0.5143700979197203,0.41278308869574026,0.513285367227372,0.8888888888888888
16 days,318.37285020514634,17.84300563820867,14.539098920372881,0.45371456372760044,0.36890756838763217,0.5050862687609571,0.9074074074074074
17 days,312.56417427082744,17.67948455896912,14.355825533072254,0.4431143484308643,0.33590475184116786,0.508110792101809,0.9074074074074074
18 days,332.1792023146055,18.22578399725525,14.935566713645763,0.45884287052738354,0.34684697547494847,0.5214377908207464,0.8888888888888888
19 days,418.475723851698,20.456679199021966,16.27931720353933,0.49252386820344435,0.37419727575097633,0.5387140925355831,0.8703703703703703
20 days,562.8798386613437,23.72508880196961,17.99329239056463,0.5551014265818338,0.3942612213998278,0.5714641308746282,0.8518518518518519
21 days,670.0685127808788,25.885681617080877,19.467360654966622,0.591378639425305,0.4169773945093794,0.5933032776679376,0.8148148148148148
22 days,728.3263621128065,26.987522341126585,20.37045559278038,0.586900078160851,0.3942612213998278,0.5891099023478497,0.7777777777777778
23 days,1708.4274936050826,41.33312828234856,25.853471289103375,0.6614112222275159,0.3942612213998278,0.6261914938777663,0.7222222222222222
24 days,1761.6957513739287,41.9725595046803,26.776780957718756,0.6802161319370854,0.4040463744391646,0.6346631319350864,0.7037037037037037
25 days,1819.4103148182608,42.654546238569466,28.156673471350636,0.704768534716795,0.4380975252582984,0.6461117825888647,0.6666666666666666
26 days,1869.8233943162545,43.24145458141128,28.88480784116356,0.7530349792000619,0.4783506728111707,0.6569528391096838,0.6481481481481481
27 days,1840.959329558929,42.90640196472933,27.97246979288364,0.748072124925338,0.4783506728111707,0.641930043364438,0.6666666666666666
28 days,1759.3122569970901,41.94415641060254,26.51380076212104,0.7057867421275257,0.4783506728111707,0.6043245268086008,0.6666666666666666
29 days,1691.4960207411636,41.12780106863438,25.430568691214802,0.7693689140454736,0.4729966020302727,0.5965679909385662,0.6851851851851852
30 days,1641.9543222849777,40.521035552969,24.440664791292026,0.7179177196806287,0.4685782232377337,0.568793202219509,0.7037037037037037
31 days,1663.6997832635027,40.788476108620465,24.779032594685287,0.7931656098333318,0.4862304898104755,0.5908405003986875,0.7037037037037037
32 days,681.1848713650048,26.099518604085493,19.0769261175311,0.7080538419966156,0.4729966020302727,0.5387441324451094,0.7407407407407407
33 days,632.4259271642395,25.14807998961828,18.06942722241063,0.6933530062691773,0.5206757691472569,0.5195956884210452,0.7592592592592593
34 days,550.5815063572313,23.464473281052598,16.11967166858774,0.657184964136949,0.48186593276714396,0.4867995250525902,0.8148148148148148
35 days,514.9780961211453,22.693128830576565,15.40549649644805,0.6065994455610833,0.4290036084016745,0.4630085326802344,0.8333333333333334
36 days,550.953862673628,23.47240640994502,16.015625748492862,0.5983188236045414,0.4115938011527589,0.4671398614015346,0.8148148148148148
37 days,624.7953986896965,24.995907638845534,17.412301480430905,0.6336858228120257,0.4115938011527589,0.5073977857348,0.7962962962962963
38 days,676.9758095296148,26.018758800711744,18.113237944473163,0.5056042046284154,0.3862045578805034,0.5020305216868258,0.7777777777777778
39 days,617.0882969980105,24.841261984810885,17.23815507948496,0.49602487971890874,0.37861775048478596,0.4945929352207288,0.7962962962962963
40 days,582.5149175083615,24.135345812901903,16.60439201700148,0.4293663253697353,0.3751153541400717,0.4802632219655204,0.7962962962962963
41 days,630.4089187886735,25.10794533187998,17.387011990196132,0.42743587068533934,0.37356765883943577,0.49952209291882604,0.7962962962962963
42 days,766.1929342474585,27.68019028560784,18.535929900941838,0.41112144389996036,0.35706926481834217,0.5074409866671045,0.7962962962962963
43 days,1096.2576535969602,33.109781841579085,20.733899085552068,0.4151902795197433,0.34881881970530826,0.5327466723972628,0.7777777777777778
44 days,1060.1726990939994,32.5602932894346,20.197061195023647,0.4384283359467389,0.35706926481834217,0.5533698777531535,0.7962962962962963
45 days,1026.9765658654303,32.04647509267486,19.657822147738003,0.46823395095350323,0.34601150278503606,0.5673426179448222,0.8148148148148148
46 days,942.188063848183,30.695082079189543,18.421187995088715,0.47518914848930316,0.34601150278503606,0.5724451490086222,0.8518518518518519
47 days,856.338012040162,29.263253613365723,18.089008280600506,0.48661411248815006,0.34601150278503606,0.5698849293100354,0.8518518518518519
48 days,914.3749399917461,30.238633236172333,19.34275345299754,0.5361297118701115,0.37775090897654073,0.6106418050215393,0.8148148148148148
49 days,1162.4412824150666,34.094593155148026,21.422474845220048,0.6076752235828553,0.39481822968771807,0.6454523049848001,0.7962962962962963
50 days,1316.3901908421367,36.28209187522319,23.56672036338329,0.8270949904697056,0.48637654756773374,0.7070067005732987,0.7592592592592593
51 days,1349.8835846953195,36.74076189595583,24.931435331560163,0.9496441590169831,0.6325268006096143,0.7623137935297815,0.7222222222222222
52 days,1060.9904334506284,32.57284810161108,23.745380965067156,1.022110917185312,0.6920570945397844,0.7794000220358734,0.7222222222222222
53 days,1098.4850181918935,33.14340082417454,24.838889380402573,1.0386157642005838,0.6920570945397844,0.7965495986371184,0.7037037037037037
54 days,1144.3571133482792,33.82834777739343,25.772191979218313,1.0221575144877264,0.6394932344223833,0.8004435044317618,0.6666666666666666
55 days,1169.4206532704882,34.19679302610828,26.287266535151346,1.0125145006666745,0.6325268006096143,0.791848150582102,0.6481481481481481
56 days,1103.5424499718208,33.219609419314686,24.651886306863023,0.9870156006026163,0.5642125254966228,0.7717048492066291,0.6851851851851852
57 days,1013.6958777827415,31.838591014407996,23.164936952561188,0.9566636042770118,0.5282125282396214,0.7503094110720886,0.7407407407407407
58 days,718.9406776534893,26.813069157660586,20.61251541288071,0.8921600075162646,0.5238055302172928,0.7195078804756965,0.7962962962962963
59 days,575.8947156115146,23.997806474999223,19.262722843174256,0.8201345098647231,0.4527590164002323,0.688202385649153,0.8333333333333334
60 days,532.5564044182843,23.077183632720097,18.545757768865684,0.7517155313336703,0.3778092712964767,0.6590651758617928,0.8518518518518519
61 days,546.1723903910562,23.37033141380447,18.802984170064317,0.6969147059431423,0.38412869075167566,0.6457859748534249,0.8333333333333334
62 days,604.705248942301,24.59075535526107,19.198479521546588,0.7237614077348647,0.3896662215700242,0.6444007841587571,0.7962962962962963
63 days,607.9129035776817,24.655889835446658,19.403448492906335,0.7396993664600705,0.3964634126721952,0.6508272839943964,0.7962962962962963
64 days,646.869414098475,25.43362762364966,20.047152687611327,0.7549154679374953,0.4283847528354288,0.6607573696402244,0.7777777777777778
65 days,773.5090491947233,27.812030655720257,22.131113350369933,0.8623830909891966,0.5455437055052245,0.7081059812519328,0.7222222222222222
66 days,825.6526434642561,28.734172051135495,23.406592053687174,0.8938540766924895,0.5666217222086367,0.7296065196928095,0.6666666666666666
67 days,852.4984093907163,29.19757540260349,23.831915194580493,0.8926206898576465,0.5666217222086367,0.7331608329716325,0.6296296296296297
68 days,834.5330171443339,28.888285119479384,23.30586017630785,0.7756727123585393,0.5869891785569998,0.7221642345617438,0.6111111111111112
69 days,752.6168703852686,27.4338635701439,22.45235779761881,0.7459131909064295,0.5860783558379097,0.7078251631370714,0.6111111111111112
70 days,715.0891388808092,26.741150664861248,21.627205784215214,0.72298536238955,0.5696021947597676,0.690401026021273,0.6481481481481481
71 days,638.7059408220916,25.272632249571704,20.540821933455298,0.6615007246598048,0.5388958287404134,0.6663802423738194,0.6666666666666666
72 days,642.8869907016747,25.35521624245541,20.548987078423647,0.6549267645421027,0.5388958287404134,0.6632843057845089,0.6666666666666666
73 days,646.4854635801698,25.42607841528398,20.381418596949374,0.6707346391999446,0.4892210577765571,0.6643341824622149,0.6851851851851852
74 days,598.0189757544008,24.454426506348515,19.863785608887362,0.6265191831785007,0.4900861343562052,0.6542742267158915,0.7037037037037037
75 days,580.3752889066533,24.09097940945227,18.899114235991647,0.6003707690067144,0.4860974323769891,0.6351858546887408,0.7407407407407407
76 days,580.7923265431607,24.099633327981582,18.66107220218369,0.5980410466370707,0.46334924899307783,0.6298710062263992,0.7592592592592593
77 days,576.9448161046424,24.019675603651322,18.45796823588945,0.5895259189252793,0.43126643148834004,0.6184077170698371,0.7592592592592593
78 days,539.8442476438677,23.234548578439558,17.686269252764177,0.5842596121961289,0.37311194409448833,0.6171336157206704,0.7777777777777778
79 days,536.1762691971204,23.15548032749743,17.491383138155165,0.5911625425908602,0.3755550250543478,0.6225354444937238,0.7592592592592593
80 days,511.6444837706818,22.619559760761963,16.929720192372468,0.5821030667244693,0.2701488035972529,0.6205751333833781,0.7962962962962963
81 days,530.8541718723535,23.04027282547569,16.977455727070808,0.652598054979729,0.2576669469127374,0.6273557476188958,0.7962962962962963
82 days,463.90220718523807,21.53838915019501,15.946418833808753,0.6369637237894209,0.2349751171899303,0.6193044758194519,0.8148148148148148
83 days,383.30191852457176,19.578097929180245,14.513181270797187,0.6467037956474824,0.21151543606067535,0.613598437762817,0.8518518518518519
84 days,343.2851758605658,18.527956602403997,13.983583683971128,0.7589765974104542,0.2244093712269189,0.6308287737052959,0.8703703703703703
85 days,356.9489505760916,18.89309266838258,14.347513406419285,0.914217022612484,0.30883013332936293,0.6704082802990248,0.8703703703703703
86 days,338.0268093282009,18.38550541399939,13.896432581667549,0.9171449939368491,0.30883013332936293,0.6696524382249012,0.8888888888888888
87 days,350.7822451034129,18.72918164532057,14.02203254559007,0.9503388000708749,0.30883013332936293,0.6688099984528577,0.8703703703703703
88 days,363.0904804856839,19.054933232254683,14.224781873690201,0.9536706348857754,0.3543947122441561,0.6718907573312158,0.8518518518518519
89 days,373.27196348863373,19.32024750070852,14.53161367639451,0.9650109318499824,0.45944826647079684,0.6875360464080088,0.8333333333333334
90 days,286.16780195861503,16.916494966706757,12.855706047465926,0.8658239606268539,0.40758993738418015,0.6610103084654726,0.8703703703703703
